Response Id,Status,Completed Date,1. Why Did You Stay With Us?,2. How Did You Hear About Us? - Stayed Previously,3. How Did You Hear About Us? - Recommendation/Word Of Mouth,4. how did you hear about us? - lewtrenchard manor emails,5. How Did You Hear About Us? - Advertisement,6. How Did You Hear About Us? - Www.Lewtrenchard.Co.Uk,7. How Did You Hear About Us? - Internet Searches (E.G. Google  Yahoo  Etc.),8. How Did You Hear About Us? - Magazine/Newspaper Article,9. How Did You Hear About Us? - Organisation Booked,10. How Did You Hear About Us? - Social Media (E.G. Facebook  Twitter  Etc),11. How Did You Hear About Us? - Trip Advisor,12. How Did You Hear About Us? - Other,13. How Did You Make Your Reservation?,14. Your Overall Experience At Lewtrenchard Manor?,15. Stay At Lewtrenchard Manor In The Future?,16. Recommend Lewtrenchard Manor To Your Friends And/Or Colleagues?,17. How Would You Summarise Your Experience At Lewtrenchard Manor?,18. The Staff Were Friendly  Welcoming And Professional,19. The Ambience  Design And Interior Decoration Appealed To Me,20. The Atmosphere Was Warm And Friendly,21. Do You Have Any Other Comments Regarding Your Arrival And/Or Any Pre Arrival Contact?,22. The Room Was Luxurious And Well Appointed,23. There Was A Good Selection Of Products In My Bathroom,24. The Room Was Cleaned To A High Standard,25. Do You Have Any Other Comments Regarding Your Bedroom/Suite? Please Start Your Comment With Your Room/Suite Number.,26. Did You Dine With Us?,27. Did You Use The Spa Facilities?,28. Where Did You Dine? - Table D’Hôte,29. Where Did You Dine? - Tasting Menu,30. Where Did You Dine? - Bar Menu,31. Where Did You Dine? - Private Dining,32. Where Did You Dine? - Function Room,33. The Food Was Excellent,34. The Service Was Friendly & Professional,35. The Overall Dining Experience Was Exceptional,36. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Dining Venue?,37. Why Did You Visit The Spa At Lewtrenchard Manor?,38. The Staff Were Friendly And Professional,39. The Facilities Were Of A High Standard,40. The Overall Spa Experience Was Exceptional,41. The Quality Of The Treatments Were Of A High Standard,42. Do You Have Any Other Comments Regarding The Spa At Lewtrenchard Manor?,43. There Was Appropriate Meeting Support Material In The Room (E.G. Flip Charts  Pens  Etc.),44. We Were Able To Access The Internet Easily,45. Refreshments Were Delivered As Requested,46. Our Business Meeting Requirements Were Met,47. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Business Venue?,48. Were Polite And Courteous At All Times,49. Were Attentive To My Needs,50. Made Me Feel Well Looked After,51. Was There Any Particular Member Of The Team You Would Like To Acknowledge And Why?,52. You Were Sad To Leave,53. The Final Account Was Accurate,54. How Did Your Experience With Us Meet With Your Expectations?,55. Was There Anything Else That We Could Have Done To Enhance Your Overall Experience?,56. Do You Have Any Further Comments?,57. What Is Your Gender?,58. Which Of The Following Ranges Includes Your Age?,59. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Special Offers,60. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Accommodation,61. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Restaurant,62. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Weddings,63. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Events,64. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Conferences,65. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Relaxation Therapy,66. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Christmas,67. Please Complete The Following (Optional):,68. If You Do Not Want Us To Publish Your Review Online... - ... Please Select The Box
11,Partial,28/11/2013 09:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Complete,28/11/2013 10:30,Private Celebration,,,,,,,,,,,Have Dined There Previously,Called Direct,Excellent,Definitely Yes,Definitely Yes,We Loved It And Hope To Be Back Soon.,Strongly Agree,Strongly Agree,Strongly Agree,Everything Was Perfect.,Strongly Agree,,Strongly Agree,We Asked For A Room That Had An Old-Fashioned Feel But A Large Comfortable Bed  And Horsea Was Recommended To Us. We Loved It! It Was Perfect For Our Needs  And Wonderfully Romantic.,Yes,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,We've Becoming Here For Years For Special Celebrations. It's Lovely That The Manor Is In The Hands Of The Murray Family Again. ,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Everyone Was Lovely.,Strongly Agree,Strongly Agree,Exceeded,,I Just Wanted To Note That As A Folklorist (And A Novelist/Artist Who Works With Folklore)  Sabine Baring-Gould Is A Major Figure In Our Field For Having Done So Much To Collect And Preserve The Tales And Folksongs Of The Old Moor Dwellers. So That Adds A Special Element To Visiting Lewtrenchard For Me And My Husband. (Plus  I've Read And Enjoyed Laurie R. King's Mystery Novel  The Moor  Set In Lewtrenchard.)  A Number Of Us In The Folklore/Arts Community In Chagford Love To Come To Lewtrenchard For Special Celebrations (Brian & Wendy Froud  Elizabeth-Jane Baldry  And Others)  And Often Recommend It To Our Guests Visiting From America. (Our American Writing Colleagues Ellen Kushner And Delia Sherman Recently Stayed With You  For Example.) Lewtrenchard Is Magical And We Love It. If You're Interested  You Can See Some Of The Pictures I Took During Our Stay On My Writing Blog: Http://Windling.Typepad.Com/Blog/2013/11/Lewtrenchard.Html,Female,45-54,Special Offers,,,,Events,,,,Terri Windling And Howard Gayton,
13,Complete,28/11/2013 11:50,Private Celebration,,,,,,,,,,Trip Advisor,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Spoilt From Arival To Departure   Really Made To Feel Relaxed And At Home From The Murray Family And All The Staff     Fantastic Food And Service And Such  Beautiful Hotel And Surroundings Cant Wait To Return!,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Seymor.  Did Mention At Time For Your Records But During The Day And Worse Of All At Night The Sound Of Heating Pipes Expanding And Contracting  We Can Only Describe As  A Constant  Sound Like Tap Dripping Onto A Hard Surface . Smell Of Heating Fuel In Ouside Lobby,Yes,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All Very Good ,Strongly Agree,Strongly Agree,Exceeded,,We Would  Once Again Like To Thank Everyone In Making Our 35Th Wedding Anniversary An Enjoyable Time.,Male,55-64,Special Offers,Accommodation,,,Events,,,,Brian Peters,
14,Complete,28/11/2013 13:05,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Lovely Food  Nice Room  Relaxed Atmosphere And Good Value.,Strongly Agree,Strongly Agree,Agree,,Agree,Strongly Agree,Strongly Agree,Aurelia. Nice Bathroom And Extremely Comfortable Bed,Yes,,Table D’Hôte,Tasting Menu,,,,Strongly Agree,Agree,Agree,Thoroughly Deserves Its 3 Aa Rosettes,,,,,,,,,,,,Strongly Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Exceeded,One Minor Quibble Only: The Fresh Fruit At Breakfast Is Not Up To The Excellent Standard Of The Rest Of The Food,We've Stayed 3 Times Now  Introduced 3 Lots Of Friends And Look Forward To Staying Again,Male,55-64,Special Offers,Accommodation,,,,,,,Steve & Karen Hawkins,
15,Complete,29/11/2013 05:01,Business/Meeting,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,,Lovely,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Agree,Strongly Agree,Was Lovely And Warm But Perhaps Too Warm.Thermostat Could Be Turned Down A Little,Yes,,,Tasting Menu,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Internet Bit Slow,Strongly Agree,Strongly Agree,Strongly Agree,All Were Fab,Disagree,Strongly Agree,Met,,,Female,25-34,,,,,,,,,,... Please Select The Box
16,Partial,29/11/2013 06:10,Private Celebration,,,,,Www.Lewtrenchard.Co.Uk,,,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Definitely Yes,Definitely Yes,Warm Welcome! Excellent Hospitality! Super Food! Great Place To Relax! ,Strongly Agree,Strongly Agree,Strongly Agree,Murray Junior Made Us Most Welcome ( Sorry Forgot His Christian Name),Strongly Agree,Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Complete,29/11/2013 06:27,Private Celebration,,,,,Www.Lewtrenchard.Co.Uk,,,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Definitely Yes,Definitely Yes,Excellent  Great Hotel For A Getaway!!,Strongly Agree,Strongly Agree,Strongly Agree,Made Very Welcome By Mr Murray Junior ( Sorry Forget Christian Name),Strongly Agree,Strongly Agree,Strongly Agree,Melton,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Murray Family...............Nice Folks,Strongly Agree,Strongly Agree,Exceeded,,,Male,45-54,Special Offers,,,,,,,,Mike & Sal Thomas,... Please Select The Box
18,Complete,29/11/2013 07:55,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Excellent Evening Wonderful Food Very Friendly Atmosphere,Strongly Agree,Agree,Strongly Agree,,,,,N/A,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Excellent Venue,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,No,,Strongly Agree,Met,No,No,Female,65+,Special Offers,,Restaurant,,,,,,Simpkin,
19,Complete,29/11/2013 08:47,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Luxurious  Relaxing  Divine  Ticked All The Boxes.,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,St Gertrude - Spotless  Tastefully Decorated  Extremely Relaxing.   If I Had To Give A Negative Comment The Only One Would Be That The Room Was A Little Cold On Our Arrival  However It Was An Extemely Cold Day And Once The Curtains Were Drawn It Was Warm And Cosy.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Agree,Having Stayed Before We Knew Exactly What To Expect And The Food Is Wilthout A Doubt Absolutely Exquisite.   Last Time We Stayed We Had Quite A Giggle When My Husband Was Served With 1 Carrot And This Time Hooted With Laughter When He Had Half A Sprout.   This Is Of Course Part Of The Fine Dining Experience - The Tastes And Presentation Being 2Nd To None.    ,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Everyone Should Be Commended - Superb Service.,Strongly Agree,Strongly Agree,Exceeded,Taking Us Hostage For A Few Days Would Have Been Very Nice Thank You!,We First Stayed At Lewtrenchard On Our Honeymoon In 1995   We Then Returned About 48 Hours Before My Daughter Was Born - She Is Now 17.   Three Years Ago We Celebrated Our 15Th Wedding Anniversary With You And This Time We Stayed Just Because!!,Female,45-54,Special Offers,,,,,,,,Jeremy And Karina Robins,
20,Complete,30/11/2013 15:45,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Excellent   Good Value,Strongly Agree,Agree,Agree,,Agree,Agree,Strongly Agree,Shower Underpowered ,Yes,,,,,,,Strongly Agree,Agree,Agree,,,,,,,,,,,,,Agree,Agree,Agree,,Neither Agree Nor Disagree,Agree,Met,,,Male,55-64,Special Offers,Accommodation,Restaurant,,,,,,Coker,
21,Complete,02/12/2013 05:18,Private Celebration,,,,,,,Magazine/Newspaper Article,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Thoroughly Enjoyable Experience. Great Setting  Friendly And Helpful Staff  Excellent Food.,Strongly Agree,Strongly Agree,Strongly Agree,Couldn't Have Been Bettered,Agree,Agree,Strongly Agree,Merial (?) Room In The Outhouse. The Only Complaint Is That The Bath Water Ran In Extremely Slowly.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Met,Expectations Were High Following A Sunday Times Article Listing The Hotel As One Of The 20 Most Romantic Dining Experiences In The Uk - It Was Our 28Th Wedding Anniversary!,,Male,55-64,Special Offers,,Restaurant,,,,,,Graesser,
22,Partial,03/12/2013 05:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Complete,09/12/2013 05:50,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Good,Maybe,Yes,Pleasant And Picturesque Place To Stay  Nice Staff Great Location For Exploring The Mid South West.,Strongly Agree,Agree,Agree,It Was A Good Experience,Agree,Agree,Agree,The Shower Stall Had Poor Grouting Along The Lower Tiles Which Were Perhaps Loose And The Tile Floor Was Poorly Grouted,No,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,The Lady At Reception Was Very Attentive And Pleasant,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Met,,There Should Be An Addition On Your Site To Get  Vouchers And Or Discounts For Additional Visits From Customers. This Has Proven To Be An Effective Way Of Maintaining Sales Through The Winter Season And Increasing Year Round Sales( In My Country),Male,55-64,Special Offers,,,,,,,,,... Please Select The Box
24,Complete,09/12/2013 07:14,Leisure,Stayed Previously,,,,,,,,,,Had Our Wedding With You 4/12/2010,Emailed Direct,Excellent,Definitely Yes,Definitely Yes,Fantastic As Always.,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Exceeded,,It Was Great That You Delivered Tea To Our Room After Dinner.,Female,45-54,Special Offers,,,,,,,Christmas,Alison Brady,
25,Complete,09/12/2013 14:03,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Excellent Welcome Lovely Staff And First Class Cuisine. Felt At Ease At All Times And All Staff Pleasant Helpful Professional With Nothing Being Too Much Trouble.,Strongly Agree,Agree,Strongly Agree,Perfect,Agree,Strongly Agree,Strongly Agree,Gertrude Loved It.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Young Waitress Whose Name I Have Forgotten. Farmer's Daughter At College Wishing To Be A Farm Secretary. Very Sweet Polite And Helpful.,Strongly Agree,Strongly Agree,Exceeded,, We Have Already Recommended To Friends/Family  And Will Return Ourselves.,Male,55-64,Special Offers,,,,,,,,Ian Radford,
26,Complete,10/12/2013 13:56,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,,Usual Warm Welcome. All Of The Staff Are Excellent. The Menu Now Has The Stamp Of The 'New' Chef  And Both Of Our Dinners Were Excellent. ,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Suggestion To Diners That Smart Casual Attire Would Be Nice (No Jeans Or Trainers).,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All Excellent.,Agree,Strongly Agree,Met,,,Male,,Special Offers,Accommodation,Restaurant,,Events,,,,,... Please Select The Box
27,Partial,21/12/2013 03:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Partial,21/12/2013 06:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Partial,21/12/2013 05:34,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Www.Lewtrenchard.Co.Uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
